Nov 21 13:16:04 hmland node[4131420]: [13:16:04,635] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:16:05 hmland node[4131420]: [13:16:05,647] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:16:05 hmland node[4131420]: [13:16:05,725] [INFO] [system] [RECONCILE] Context sagt isActive=true, aber Wallbox lädt nicht (State=2, Power=0mW) → setze isActive=false
Nov 21 13:16:10 hmland node[4131420]: [13:16:10,375] [INFO] [system] [RECONCILE] Context sagt isActive=false, aber Wallbox lädt (State=3, Power=1553818mW) → setze isActive=true
Nov 21 13:16:10 hmland node[4131420]: [13:16:10,387] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 678W < 1000W - Stopp-Timer gestartet
Nov 21 13:16:10 hmland node[4131420]: [13:16:10,388] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:16:11 hmland node[4131420]: [13:16:11,426] [INFO] [system] Ladung gestoppt
Nov 21 13:16:11 hmland node[4131420]: [13:16:11,447] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:16:40 hmland node[4131420]: [13:16:40,383] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1615.5W > 1500W für 34.638s
Nov 21 13:16:42 hmland node[4131420]: [13:16:42,523] [INFO] [system] Ladung gestartet mit 7A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:16:44 hmland node[4131420]: [13:16:44,582] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:16:45 hmland node[4131420]: [13:16:45,594] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:16:50 hmland node[4131420]: [13:16:50,280] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 484W < 1000W - Stopp-Timer gestartet
Nov 21 13:16:50 hmland node[4131420]: [13:16:50,282] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:16:52 hmland node[4131420]: [13:16:52,374] [INFO] [system] Ladung gestoppt
Nov 21 13:16:52 hmland node[4131420]: [13:16:52,397] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:53:49 hmland node[4131420]: [13:53:49,472] [INFO] [system] Ladestrategie gewechselt auf: off
Nov 21 13:53:51 hmland node[4131420]: [13:53:51,706] [INFO] [system] [ChargingStrategyController] Strategie auf "off" → Wallbox wird gestoppt
Nov 21 13:53:51 hmland node[4131420]: [13:53:51,710] [INFO] [system] [ChargingStrategyController] Wallbox gestoppt, Strategie auf "off" gesetzt
